manufacturer,model,aircraft_type,description,engine_count,engine_type,aircraft_category,engine_manufacturer,engine_model,body_type,max_seats,engine_source,max_seats_source,contributor,
Cessna,150A,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150B,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150C,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150D,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150E,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150F,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150G,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150H,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150J,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150K,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150L,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,150M,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
Cessna,152,C152,L1P,1,Piston,LandPlane,Lycoming,O-235,Private,2,https://en.wikipedia.org/wiki/Cessna_152,https://en.wikipedia.org/wiki/Cessna_152,Bhavye,
Cessna,162 Skycatcher,C162,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_162_Skycatcher,https://en.wikipedia.org/wiki/Cessna_162_Skycatcher,Bhavye,
Cessna,170,C170,L1P,1,Piston,LandPlane,Continental,C145-2,Private,4,https://en.wikipedia.org/wiki/Cessna_170,https://en.wikipedia.org/wiki/Cessna_170,Bhavye,
Cessna,170A,C170,L1P,1,Piston,LandPlane,Continental,C145-2,Private,4,https://en.wikipedia.org/wiki/Cessna_170,https://en.wikipedia.org/wiki/Cessna_170,Bhavye,
Cessna,170B,C170,L1P,1,Piston,LandPlane,Continental,C145-3,Private,4,https://en.wikipedia.org/wiki/Cessna_170,https://en.wikipedia.org/wiki/Cessna_170,Bhavye,
Cessna,172 Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172A Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172B Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172C Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172D Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,GO-300E,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172E,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://planephd.com/wizard/details/177/CESSNA-172E-specifications-performance-operating-cost-valuation,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172E Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://planephd.com/wizard/details/177/CESSNA-172E-specifications-performance-operating-cost-valuation,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172F Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172G Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172H Skyhawk,C172,L1P,1,Piston,LandPlane,Continental,O-300,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172I Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-320-E2D,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172K Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-320-E2D,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172L Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-320-E2D,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172M Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-320-E2D,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172N Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-320-H2AD,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172P Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-320-D2J,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172Q Cutlass,C172,L1P,1,Piston,LandPlane,Lycoming,O-360-A4N,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172Q Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-360-A4N,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172R Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-360-L2A,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172RG Cutlass,C72R,L1P,1,Piston,LandPlane,Lycoming,O-360-F1A6,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172S Skyhawk,C172,L1P,1,Piston,LandPlane,Lycoming,O-360-L2A,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,172S Skyhawk SP,C172,L1P,1,Piston,LandPlane,Lycoming,O-360-L2A,Private,4,https://en.wikipedia.org/wiki/Cessna_172,https://en.wikipedia.org/wiki/Cessna_172,Bhavye,
Cessna,175 Skylark,C175,L1P,1,Piston,LandPlane,Continental,GO-300A;GO-300C,Private,4,https://en.wikipedia.org/wiki/Cessna_175_Skylark,https://en.wikipedia.org/wiki/Cessna_175_Skylark,Bhavye,
Cessna,175A Skylark,C175,L1P,1,Piston,LandPlane,Continental,GO-300C;GO-300D,Private,4,https://en.wikipedia.org/wiki/Cessna_175_Skylark,https://en.wikipedia.org/wiki/Cessna_175_Skylark,Bhavye,
Cessna,175B Skylark,C175,L1P,1,Piston,LandPlane,Continental,GO-300C;GO-300D,Private,4,https://en.wikipedia.org/wiki/Cessna_175_Skylark,https://en.wikipedia.org/wiki/Cessna_175_Skylark,Bhavye,
Cessna,175C Skylark,C175,L1P,1,Piston,LandPlane,Continental,GO-300E,Private,4,https://en.wikipedia.org/wiki/Cessna_175_Skylark,https://en.wikipedia.org/wiki/Cessna_175_Skylark,Bhavye,
Cessna,177 Cardinal,C177,L1P,1,Piston,LandPlane,Lycoming,O-320,Private,4,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,Bhavye,
Cessna,177 Cardinal RG,C77R,L1P,1,Piston,LandPlane,Lycoming,IO-360,Private,4,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,Bhavye,
Cessna,177A Cardinal,C177,L1P,1,Piston,LandPlane,Lycoming,O-360,Private,4,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,Bhavye,
Cessna,177B Cardinal,C177,L1P,1,Piston,LandPlane,Lycoming,O-360,Private,4,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,Bhavye,
Cessna,177RG Cardinal,C77R,L1P,1,Piston,LandPlane,Lycoming,IO-360,Private,4,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,https://en.wikipedia.org/wiki/Cessna_177_Cardinal,Bhavye,
Cessna,180 Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-A;O-470-J;O-470K,Private,4,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180A Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-K,Private,4,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180B Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-K,Private,4,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180C Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180D Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180E Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180F Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180G Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,6,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180H Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,6,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180J Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-R;O-470S,Private,6,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,180K Skywagon,C180,L1P,1,Piston,LandPlane,Continental,O-470-U,Private,6,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,https://en.wikipedia.org/wiki/Cessna_180_Skywagon,Bhavye,
Cessna,182 Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-L,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182A Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-L,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182B Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-L,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182C Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-L,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182D Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-L,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182E Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182F Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182G Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-L;O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182H Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182J Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182K Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182L Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182M Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-R,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182N Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-R;O-470S,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182P Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-R;O-470S,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182Q Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-U,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182R Skylane,C182,L1P,1,Piston,LandPlane,Continental,O-470-U,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182S Skylane,C182,L1P,1,Piston,LandPlane,Lycoming,IO-540-AB1A5,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,182T Skylane,C182,L1P,1,Piston,LandPlane,Lycoming,IO-540-AB1A6,Private,4,https://en.wikipedia.org/wiki/Cessna_182_Skylane,https://en.wikipedia.org/wiki/Cessna_182_Skylane,Bhavye,
Cessna,185 Skywagon,C185,L1P,1,Piston,LandPlane,Continental,IO-470-F,Private,6,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,Bhavye,
Cessna,185A Skywagon,C185,L1P,1,Piston,LandPlane,Continental,IO-470-F,Private,6,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,Bhavye,
Cessna,185B Skywagon,C185,L1P,1,Piston,LandPlane,Continental,IO-470-F,Private,6,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,Bhavye,
Cessna,185C Skywagon,C185,L1P,1,Piston,LandPlane,Continental,IO-470-F,Private,6,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,Bhavye,
Cessna,185D Skywagon,C185,L1P,1,Piston,LandPlane,Continental,IO-470-F,Private,6,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,Bhavye,
Cessna,185E Skywagon,C185,L1P,1,Piston,LandPlane,Continental,IO-470-F;IO-520-D,Private,6,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,Bhavye,
Cessna,185F Skywagon,C185,L1P,1,Piston,LandPlane,Continental,IO-520-D,Private,6,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,Bhavye,
Cessna,188,C188,L1P,1,Piston,LandPlane,Continental,O-470-R,Private,1,https://en.wikipedia.org/wiki/Cessna_188,https://en.wikipedia.org/wiki/Cessna_188,Bhavye,
Cessna,188A,C188,L1P,1,Piston,LandPlane,Continental,O-470-R,Private,1,https://en.wikipedia.org/wiki/Cessna_188,https://en.wikipedia.org/wiki/Cessna_188,Bhavye,
Cessna,188B,C188,L1P,1,Piston,LandPlane,Continental,O-470-R,Private,1,https://en.wikipedia.org/wiki/Cessna_188,https://en.wikipedia.org/wiki/Cessna_188,Bhavye,
Cessna,188B AgTruck,C188,L1P,1,Piston,LandPlane,Continental,IO-520-D,Private,1,https://en.wikipedia.org/wiki/Cessna_188,https://en.wikipedia.org/wiki/Cessna_188,Bhavye,
Cessna,188B AgWagon,C188,L1P,1,Piston,LandPlane,Continental,IO-520-D,Private,1,https://en.wikipedia.org/wiki/Cessna_188,https://en.wikipedia.org/wiki/Cessna_188,Bhavye,
Cessna,190,C190,L1P,1,Piston,LandPlane,Continental,W670-23,Private,5,https://en.wikipedia.org/wiki/Cessna_195,https://en.wikipedia.org/wiki/Cessna_195,Bhavye,
Beechcraft,1900,B190,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney,PT6A-65B,Regional,19,https://www.skybrary.aero/index.php/B190,https://en.wikipedia.org/wiki/Beechcraft_1900,Bhavye,
Beechcraft,1900C,B190,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney,PT6A-65B,Regional,19,https://www.skybrary.aero/index.php/B190,https://en.wikipedia.org/wiki/Beechcraft_1900,Bhavye,
Beechcraft,1900C-1,B190,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney,PT6A-65B,Regional,19,https://www.skybrary.aero/index.php/B190,https://en.wikipedia.org/wiki/Beechcraft_1900,Bhavye,
Beechcraft,1900D,B190,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney,PT6A-67D,Regional,19,https://en.wikipedia.org/wiki/Beechcraft_1900,https://en.wikipedia.org/wiki/Beechcraft_1900,Bhavye,
Cessna,195 Businessliner,C195,L1P,1,Piston,LandPlane,Jacobs,R-755A2,Private,5,https://en.wikipedia.org/wiki/Cessna_195,https://en.wikipedia.org/wiki/Cessna_195,Bhavye,
Cessna,195A Businessliner,C195,L1P,1,Piston,LandPlane,Jacobs,L-4MB,Private,5,https://en.wikipedia.org/wiki/Cessna_195,https://en.wikipedia.org/wiki/Cessna_195,Bhavye,
Cessna,195B Businessliner,C195,L1P,1,Piston,LandPlane,Jacobs,R-755B2,Private,5,https://en.wikipedia.org/wiki/Cessna_195,https://en.wikipedia.org/wiki/Cessna_195,Bhavye,
Embraer,195LR,E195,L2J,2,Jet,LandPlane,General Electric,CF34-10E,Narrow,124,https://en.wikipedia.org/wiki/Embraer_E-Jet_family,https://en.wikipedia.org/wiki/Embraer_E-Jet_family,Bhavye,
Beechcraft,19A Musketeer Sport III,BE19,L1P,1,Piston,LandPlane,Lycoming,O-320-E2B;O-320-E2C;O-320-E2D,Private,4,https://en.wikipedia.org/wiki/Beechcraft_Musketeer,https://en.wikipedia.org/wiki/Beechcraft_Musketeer,Bhavye,
Beechcraft,200 King Air,BE20,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney Canada,PT6A-41,Regional,10,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,Bhavye,
Beechcraft,200C King Air,BE20,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney Canada,PT6A-42,Regional,10,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,Bhavye,
Beechcraft,200CGT King Air,BE20,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney Canada,PT6A-43,Regional,10,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,Bhavye,
Beechcraft,200GT King Air,BE20,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney Canada,PT6A-44,Regional,10,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,Bhavye,
Beechcraft,200T King Air,BE20,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney Canada,PT6A-45,Regional,10,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air,Bhavye,
